"Customer_Name","Promo_Transactions","Total_Transactions","Promo_Response_Rate"
Anthony Dunn,5,5,100.0
Valerie Wagner,6,6,100.0
Veronica Ward,6,6,100.0
Veronica Peterson,8,8,100.0
Christopher Morton,5,5,100.0
Jacob Price,7,7,100.0
Amber Ramos,7,7,100.0
Kevin Luna,5,5,100.0
Theresa Parker,6,6,100.0
Amy Bowman,6,6,100.0
Adam Medina,5,5,100.0
Chad Sanchez,5,5,100.0
Mitchell White,5,5,100.0
Gregory Medina,8,8,100.0
David Brennan,7,7,100.0
Ashley Gordon,7,7,100.0
Christopher Chang,5,5,100.0
Heather Hart,6,6,100.0
Richard Carr,7,7,100.0
Daniel Ingram,5,5,100.0
Teresa Arnold,8,8,100.0
Paul Santos,6,6,100.0
Amanda Leonard,5,5,100.0
Alex Roberts,6,6,100.0
Kayla Rose,5,5,100.0
Jeff King,5,5,100.0
Joseph Barker,9,9,100.0
Cynthia Gordon,6,6,100.0
Denise Gomez,8,8,100.0
Melissa Anthony,5,5,100.0
Robert Hines,10,10,100.0
Jennifer Kirk,6,6,100.0
Karen Lawrence,5,5,100.0
Joseph Cantu,5,5,100.0
Scott Freeman,5,5,100.0
Richard Snyder,5,5,100.0
Wanda Rodriguez,6,6,100.0
Mary Graves,9,9,100.0
Andrew Conway,5,5,100.0
Kimberly Tyler,6,6,100.0
Cassandra Henderson,5,5,100.0
Jean Davis,5,5,100.0
Rebecca Whitaker,5,5,100.0
Heather Davidson,5,5,100.0
Cheryl Price,5,5,100.0
Cynthia Ross,7,7,100.0
Megan Harrison,5,5,100.0
Riley Johnson,5,5,100.0
Heather Mills,5,5,100.0
Amber Dunn,6,6,100.0
Ashley Vega,7,7,100.0
David Rowe,5,5,100.0
Jennifer Jacobson,5,5,100.0
Daniel Webb,8,8,100.0
Amy Kennedy,6,6,100.0
Lauren Sherman,5,5,100.0
Timothy French,6,6,100.0
Brett Hamilton,5,5,100.0
Ann Wilson,10,10,100.0
James Chen,6,6,100.0
Jennifer Hurst,8,8,100.0
William Vaughan,6,6,100.0
Brenda Willis,7,7,100.0
Jessica Nicholson,6,6,100.0
David Cameron,5,5,100.0
Monica Woods,5,5,100.0
Mark Stuart,5,5,100.0
Ashley Schmidt,7,7,100.0
Nicole Stevenson,5,5,100.0
Monica Dunn,5,5,100.0
Richard Mcmahon,5,5,100.0
Teresa Bennett,5,5,100.0
Adrian Young,5,5,100.0
Devin Lopez,6,6,100.0
Chad Wright,5,5,100.0
Jason Leblanc,5,5,100.0
Anthony Russell,10,10,100.0
Cindy Morgan,5,5,100.0
Jeffrey Drake,5,5,100.0
Brandon Franklin,7,7,100.0
Richard Kelly,13,13,100.0
Jeremy Jimenez,5,5,100.0
Joseph Norton,6,6,100.0
Ashley Cochran,5,5,100.0
Lisa Shea,5,5,100.0
Mary Vazquez,6,6,100.0
Michelle Leach,5,5,100.0
Felicia Sanders,6,6,100.0
Charles Burton,6,6,100.0
Michele Barnes,5,5,100.0
Robert Davila,6,6,100.0
Diane Rodriguez,10,10,100.0
Cody Mitchell,7,7,100.0
Larry Owens,6,6,100.0
Cynthia Simon,5,5,100.0
Joseph Caldwell,5,5,100.0
Christopher Zuniga,5,5,100.0
Elizabeth Garner,7,7,100.0
Taylor Romero,5,5,100.0
Tyler Rivera,6,6,100.0
Carl Allen,5,5,100.0
Edward Hunter,5,5,100.0
Chad Harrison,5,5,100.0
Carol Miller,6,6,100.0
Brian Douglas,5,5,100.0
Rachel Adams,6,6,100.0
Lisa Cain,7,7,100.0
William Luna,5,5,100.0
Jon Kelly,5,5,100.0
Heather Ray,5,5,100.0
Sarah Hart,7,7,100.0
William Landry,5,5,100.0
Timothy Bennett,6,6,100.0
Stephanie Welch,7,7,100.0
Gabriel Benson,5,5,100.0
Donna Perry,7,7,100.0
Jonathan Hansen,6,6,100.0
Amanda Daugherty,6,6,100.0
Zachary Harrison,5,5,100.0
Jacqueline Adams,8,8,100.0
Katherine Morton,5,5,100.0
Brandi Lee,9,9,100.0
William Mejia,6,6,100.0
Christine Kaiser,5,5,100.0
Brenda Wong,5,5,100.0
Heather Graham,6,6,100.0
Jennifer Rojas,7,7,100.0
Bradley Watson,5,5,100.0
Angela Ball,6,6,100.0
Melanie Hall,6,6,100.0
Wanda King,5,5,100.0
Gregory Gray,9,9,100.0
Kevin Mosley,6,6,100.0
Patricia Foster,5,5,100.0
Andrea Oliver,6,6,100.0
Joshua Bowman,5,5,100.0
Tyler Wells,5,5,100.0
Emily Reynolds,5,5,100.0
Wendy Hawkins,5,5,100.0
Donna Harper,5,5,100.0
Ryan Russell,5,5,100.0
Robert Acosta,5,5,100.0
Daniel Abbott,6,6,100.0
Katherine Newman,5,5,100.0
Barbara Alvarez,5,5,100.0
Dominique Jones,6,6,100.0
Joseph Lucas,6,6,100.0
Michelle Vega,6,6,100.0
Troy Rivera,5,5,100.0
Anna Bailey,5,5,100.0
Shawn Ramirez,8,8,100.0
Jonathan Cortez,5,5,100.0
John Barry,9,9,100.0
Penny King,5,5,100.0
James Park,10,10,100.0
Mitchell Ross,5,5,100.0
Heather Johnston,6,6,100.0
Mackenzie Williams,5,5,100.0
Madison Stewart,6,6,100.0
Nicole Ortega,7,7,100.0
Deborah Stevens,6,6,100.0
Douglas Gibson,5,5,100.0
Steven Cohen,5,5,100.0
Kathleen Ruiz,6,6,100.0
Eric Frederick,5,5,100.0
Joshua Chandler,5,5,100.0
Sarah Quinn,5,5,100.0
James Hull,8,8,100.0
Angela Barrera,5,5,100.0
Cheryl Kim,5,5,100.0
Paul Wheeler,7,7,100.0
Jason Franklin,5,5,100.0
Tina Rhodes,6,6,100.0
Susan Stevens,6,6,100.0
Matthew Beltran,5,5,100.0
John Mccann,5,5,100.0
Amy Fischer,5,5,100.0
Kathryn Jordan,5,5,100.0
Dustin Hayes,6,6,100.0
Jeff Anderson,6,6,100.0
Joseph Adkins,5,5,100.0
Christina Arnold,7,7,100.0
Jordan Pierce,5,5,100.0
Bruce Knight,5,5,100.0
Crystal Marshall,6,6,100.0
John Mora,5,5,100.0
Amy Douglas,6,6,100.0
James Montoya,10,10,100.0
Timothy Gates,6,6,100.0
Timothy Pope,5,5,100.0
Deborah Bell,5,5,100.0
Chad Wood,5,5,100.0
Richard Pham,5,5,100.0
Todd Hanson,5,5,100.0
Sarah Arellano,5,5,100.0
Jennifer Harvey,5,5,100.0
Bradley Griffin,6,6,100.0
Elizabeth Armstrong,8,8,100.0
Sherri Morgan,5,5,100.0
Rhonda Perez,5,5,100.0
Nicholas Cummings,5,5,100.0
Bonnie Jackson,6,6,100.0
Paula Myers,5,5,100.0
Brian Maxwell,5,5,100.0
Paul Ruiz,7,7,100.0
Andrea Mendoza,7,7,100.0
Gregory Newman,5,5,100.0
Jason Le,6,6,100.0
Brittany Morris,5,5,100.0
Christopher Fitzpatrick,6,6,100.0
Nathan Walters,5,5,100.0
Thomas Curtis,7,7,100.0
Janice Nguyen,5,5,100.0
Kaitlyn Hill,5,5,100.0
Dylan Perez,7,7,100.0
Andrew Oliver,5,5,100.0
Gary Ferguson,5,5,100.0
Denise Hamilton,5,5,100.0
Gloria Thomas,7,7,100.0
Ashley Nunez,5,5,100.0
Crystal King,5,5,100.0
Jessica Rivers,5,5,100.0
Kenneth Powers,5,5,100.0
Lisa Mcgee,5,5,100.0
Christina Dixon,6,6,100.0
Thomas Henson,5,5,100.0
Jennifer Gallagher,6,6,100.0
Joseph Moreno,5,5,100.0
Amanda Knapp,5,5,100.0
Ian Martin,6,6,100.0
Mitchell Lee,5,5,100.0
Charles Mendoza,5,5,100.0
John Grimes,9,9,100.0
Tony Moore,9,9,100.0
Benjamin Meyer,5,5,100.0
Adrian Harris,6,6,100.0
Beth Scott,5,5,100.0
Roger Cox,5,5,100.0
Jeffrey Walls,5,5,100.0
Brian Bowen,6,6,100.0
Mark Koch,6,6,100.0
Keith Munoz,5,5,100.0
Stephen Johnston,5,5,100.0
Cynthia Bell,9,9,100.0
Kelly Mendoza,9,9,100.0
Laura Soto,5,5,100.0
James Benton,5,5,100.0
Eric Pitts,5,5,100.0
Kimberly Chen,6,6,100.0
Dennis Morris,5,5,100.0
Mark Munoz,5,5,100.0
Brian Olson,7,7,100.0
Christina Obrien,7,7,100.0
Curtis Walker,6,6,100.0
Johnathan Davis,9,9,100.0
Patricia Bishop,5,5,100.0
Mary Chen,5,5,100.0
Nancy Rivera,7,7,100.0
Lauren Jordan,5,5,100.0
Victor Peterson,6,6,100.0
Sarah Thornton,6,6,100.0
Stephen Schneider,5,5,100.0
Rhonda Baker,7,7,100.0
Laura Snyder,9,9,100.0
Carolyn Hernandez,5,5,100.0
Thomas Briggs,5,5,100.0
Edward Russell,11,11,100.0
Melissa Cobb,5,5,100.0
Alexander Ortiz,5,5,100.0
William Wall,5,5,100.0
David Decker,6,6,100.0
Joseph Mann,5,5,100.0
Samuel Harvey,5,5,100.0
Michelle Hopkins,6,6,100.0
Christina Gill,5,5,100.0
Thomas Logan,6,6,100.0
Roger Moore,7,7,100.0
Darlene Sanchez,5,5,100.0
Kenneth Weber,5,5,100.0
Michelle Carrillo,5,5,100.0
Andrea Wallace,5,5,100.0
Christopher Finley,5,5,100.0
David Barton,6,6,100.0
Kevin Silva,5,5,100.0
Richard Baldwin,6,6,100.0
Rachel Mann,5,5,100.0
Robert Ayala,5,5,100.0
Christina Barajas,5,5,100.0
Jessica Howe,6,6,100.0
John Murillo,5,5,100.0
Kimberly Reeves,6,6,100.0
Grace Dunn,5,5,100.0
Barbara Nichols,6,6,100.0
Richard Valdez,5,5,100.0
Sharon Reynolds,7,7,100.0
Adam Bailey,8,8,100.0
Carrie Fisher,5,5,100.0
Julie Wu,5,5,100.0
Justin Wise,5,5,100.0
William Mosley,6,6,100.0
Andrea Moran,5,5,100.0
Charles Duncan,5,5,100.0
Howard Williams,7,7,100.0
Steven Berg,6,6,100.0
Lisa Hurst,7,7,100.0
Ryan Norton,6,6,100.0
Brian Cardenas,5,5,100.0
Nicholas Nichols,5,5,100.0
Kevin Leach,6,6,100.0
Melissa Wade,5,5,100.0
Lauren Soto,5,5,100.0
Ronald Morgan,5,5,100.0
Debra Morgan,6,6,100.0
Steven Jensen,5,5,100.0
Denise Mcdaniel,5,5,100.0
Stephanie Hanson,5,5,100.0
Nicole Stevens,7,7,100.0
Jamie Holmes,5,5,100.0
Kenneth Skinner,5,5,100.0
Kenneth Hanson,5,5,100.0
Ryan Walsh,5,5,100.0
Yolanda White,6,6,100.0
Vanessa Harrison,6,6,100.0
Kenneth Vincent,5,5,100.0
Michael Mathis,5,5,100.0
Andrew Holland,5,5,100.0
Samuel Edwards,5,5,100.0
Brenda Foster,5,5,100.0
Gary Craig,5,5,100.0
Cynthia Fuller,5,5,100.0
Sherry Walker,5,5,100.0
Bryan Malone,5,5,100.0
Jamie Bishop,5,5,100.0
Jessica Foley,6,6,100.0
Ariana Smith,8,8,100.0
Jeffrey Hartman,6,6,100.0
Jordan Long,7,7,100.0
Lori Tran,6,6,100.0
David Burnett,6,6,100.0
Benjamin Shaw,5,5,100.0
Morgan Lewis,7,7,100.0
Haley Sanchez,5,5,100.0
Jeffrey Banks,6,6,100.0
Jennifer Lloyd,7,7,100.0
Brian Christensen,6,6,100.0
Nicole Hoffman,5,5,100.0
Jennifer Winters,6,6,100.0
William Ewing,6,6,100.0
Linda Wallace,5,5,100.0
Pamela Bates,5,5,100.0
Philip Watkins,6,6,100.0
Theresa Reid,6,6,100.0
Laura Olson,5,5,100.0
Larry Woods,6,6,100.0
Matthew Lowery,6,6,100.0
Timothy Williamson,5,5,100.0
Kevin Dickerson,6,6,100.0
Jessica Estrada,8,8,100.0
Melissa Sparks,5,5,100.0
Kyle Jordan,9,9,100.0
Michele Martin,5,5,100.0
Jacqueline Jordan,5,5,100.0
Sandra Carpenter,5,5,100.0
Deanna Lopez,6,6,100.0
Justin Medina,6,6,100.0
Stephanie Leonard,5,5,100.0
Angela Gilbert,6,6,100.0
Melissa Cannon,5,5,100.0
Rachael Jones,6,6,100.0
Thomas Camacho,6,6,100.0
Kevin Joseph,5,5,100.0
Miguel Jackson,6,6,100.0
Cassandra Holmes,5,5,100.0
Tara Watkins,5,5,100.0
Carlos Hall,5,5,100.0
Amy Robbins,5,5,100.0
Brian Fuller,7,7,100.0
Russell Rodriguez,8,8,100.0
Cheryl Graham,5,5,100.0
Kimberly Munoz,6,6,100.0
Leslie Turner,7,7,100.0
Tracy Mejia,5,5,100.0
Karen Gomez,9,9,100.0
Rachel Lawrence,6,6,100.0
Nicole Mcdaniel,6,6,100.0
Steven Buck,7,7,100.0
Richard Bradley,8,8,100.0
Amy Morse,5,5,100.0
Lisa Malone,5,5,100.0
James Cooke,5,5,100.0
