"Customer_Name","City","Total Transaction Value","Total Transaction Count","Last Transaction Date"
Michael Smith,Boston,23768.53,454,2024-05-16 10:21:05
James Smith,Chicago,18464.04,337,2024-05-16 16:59:21
Michael Johnson,Atlanta,18032.17,341,2024-05-14 15:02:25
Christopher Smith,Boston,17006.64,301,2024-05-18 16:50:19
David Smith,Chicago,16547.27,309,2024-05-16 15:58:21
Michael Williams,New York,15353.61,304,2024-05-14 18:12:28
Michael Jones,Houston,15164.54,285,2024-05-15 14:30:26
Jennifer Smith,Los Angeles,14465.09,269,2024-05-16 20:53:23
John Smith,Los Angeles,14285.09,288,2024-05-15 21:45:28
Michael Brown,Boston,14143.08,274,2024-05-17 06:08:46
Robert Smith,Los Angeles,13967.97,275,2024-05-14 05:50:22
David Johnson,Atlanta,13891.77,260,2024-05-14 19:43:48
James Johnson,Los Angeles,13628.39,251,2024-05-17 15:11:42
Christopher Johnson,Los Angeles,13282.25,256,2024-05-08 06:34:08
Matthew Smith,Boston,12609.53,241,2024-04-29 02:47:01
Jennifer Johnson,San Francisco,12284.97,234,2024-05-06 12:52:24
John Johnson,Miami,12148.22,237,2024-05-12 21:55:27
Robert Johnson,Los Angeles,11947.06,224,2024-04-25 20:13:21
David Brown,San Francisco,11681.34,228,2024-05-17 20:53:58
Michael Davis,New York,11647.4,223,2024-05-12 18:53:55
